query_id,question,hotel_id,hotel_name,price_lkr,rating,star,travel_time_min,amenities,relevance
q38,hotels with a 24 hour front desk,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q27,hotels I can reach quickly even in traffic,lp6f005,Renuka City Hotel,24262.1,3.9,4.0,2.3,24h Front Desk; Air Conditioning,
q15,upscale hotels above 80000 rupees a night,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk,Cinnamon Grand Colombo,,4.7,,4.5,Air Conditioning; 24h Front Desk; Hot Water,
q18,hotels costing at most 50000 LKR,lp656d4b1f,Courtyard by Marriott Colombo,45070.64,4.3,5.0,2.5,Air Conditioning; 24h Front Desk,
q47,4 star hotels under 70000 LKR,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q44,cheap quiet hotels away from traffic under 35000,lpa2274,Mandarina Colombo,21540.46,4.3,5.0,4.3,Air Conditioning; 24h Front Desk,
q09,premium high quality hotels rated 4.6 or higher,lp3f0a0,Grand Oriental Hotel,13592.48,3.3,4.0,7.4,Air Conditioning; 24h Front Desk,
q04,luxury 5 star hotels in Colombo,lp33ddb,"Taj Samudra, Colombo",43096.77,4.5,5.0,4.0,Air Conditioning; 24h Front Desk,
q34,easily reachable hotels within 8 minutes drive,ChIJG5Tx5xNZ4joRgaxNnUPfgqI,Oak Ray Colombo City Hotel,,4.7,,7.0,Air Conditioning; 24h Front Desk; Hot Water,
q20,excellent hotels with rating 4.4 or better,ChIJ2e3NszhZ4joRgMEx0M0swC8,Galle Face Hotel,,4.5,,4.0,Air Conditioning; 24h Front Desk; Hot Water,
q29,hotels with reliable fast road access,lp65774d7d,La Maison de Colombo,110213.15,4.8,4.0,11.0,24h Front Desk; Air Conditioning,
q28,places with the shortest drive from the center,lp656d4b1f,Courtyard by Marriott Colombo,45070.64,4.3,5.0,2.5,Air Conditioning; 24h Front Desk,
q21,4 star or better hotels,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q04,luxury 5 star hotels in Colombo,ChIJDeMdNSRZ4joRymwzaUU7Zwk,Fairway Colombo,,4.2,,7.1,Hot Water; 24h Front Desk; Air Conditioning,
q12,"somewhere cheap to stay, less than Rs 15000",lp3e58e,The Kingsbury Colombo,35050.54,4.2,5.0,5.4,Air Conditioning; 24h Front Desk,
q03,top-rated hotels in Colombo with a rating above 4.5,lpa0a8a,NH Collection Colombo,64041.49,4.6,5.0,1.6,Air Conditioning; 24h Front Desk,
q40,"top rated hotels with fast access, rating 4.3 or higher within 6 minutes",ChIJIxlaBGlZ4joRCOu-FjV-KDs,Cinnamon Red Colombo,,4.4,,1.7,Air Conditioning; 24h Front Desk; Hot Water,
q33,hotels that are not stuck in congestion,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q39,affordable hotels under 30000 rated above 4,lp76eba,Radisson Hotel Colombo,27044.21,4.2,4.0,6.8,Air Conditioning; 24h Front Desk,
q29,hotels with reliable fast road access,lp6f005,Renuka City Hotel,24262.1,3.9,4.0,2.3,24h Front Desk; Air Conditioning,
q44,cheap quiet hotels away from traffic under 35000,lp6f005,Renuka City Hotel,24262.1,3.9,4.0,2.3,24h Front Desk; Air Conditioning,
q27,hotels I can reach quickly even in traffic,lp65589ffb,MaRadha Colombo,35640.66,4.8,3.0,6.0,Air Conditioning; 24h Front Desk,
q28,places with the shortest drive from the center,lp6557c6e0,Granbell Hotel Colombo,26670.09,4.6,4.0,3.1,Air Conditioning; 24h Front Desk,
q25,decent hotels rated above 3.8,lp1c1ea,Cinnamon Grand Colombo,60548.32,4.7,5.0,4.5,Air Conditioning; 24h Front Desk,
q28,places with the shortest drive from the center,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q18,hotels costing at most 50000 LKR,lp655a9e91,Zest Metropole,20622.39,4.3,4.0,7.5,Air Conditioning; 24h Front Desk,
q17,cheapest possible accommodation in the city,lp65589ffb,MaRadha Colombo,35640.66,4.8,3.0,6.0,Air Conditioning; 24h Front Desk,
q20,excellent hotels with rating 4.4 or better,lp30277,Hilton Colombo Residence,41596.13,4.4,5.0,3.5,Air Conditioning; 24h Front Desk,
q24,hotels that guests love,ChIJDeMdNSRZ4joRymwzaUU7Zwk,Fairway Colombo,,4.2,,7.1,Hot Water; 24h Front Desk; Air Conditioning,
q03,top-rated hotels in Colombo with a rating above 4.5,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q27,hotels I can reach quickly even in traffic,lp656d3aa9,Sofia Colombo City Hotel,25070.04,4.3,4.0,2.0,Air Conditioning; 24h Front Desk,
q11,hotels below 20000 LKR per night,ChIJOZCsQWBZ4joR29AzAwfi6zk,Mandarina Colombo,,4.3,,4.4,Air Conditioning; 24h Front Desk; Hot Water,
q25,decent hotels rated above 3.8,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,28927.59,4.2,4.0,7.1,Air Conditioning; 24h Front Desk,
q24,hotels that guests love,lp33ddb,"Taj Samudra, Colombo",43096.77,4.5,5.0,4.0,Air Conditioning; 24h Front Desk,
q44,cheap quiet hotels away from traffic under 35000,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,28927.59,4.2,4.0,7.1,Air Conditioning; 24h Front Desk,
q47,4 star hotels under 70000 LKR,lpb1537,Shangri-La Colombo,68269.97,4.7,5.0,8.3,Air Conditioning; 24h Front Desk,
q21,4 star or better hotels,lpb1537,Shangri-La Colombo,68269.97,4.7,5.0,8.3,Air Conditioning; 24h Front Desk,
q13,stays that won't break the bank,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q30,avoid traffic - hotels that are easy to get to,ChIJG5Tx5xNZ4joRgaxNnUPfgqI,Oak Ray Colombo City Hotel,,4.7,,7.0,Air Conditioning; 24h Front Desk; Hot Water,
q44,cheap quiet hotels away from traffic under 35000,lp67286,Colombo Court Hotel & Spa,29509.78,4.5,4.0,3.2,Air Conditioning; 24h Front Desk,
q34,easily reachable hotels within 8 minutes drive,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q35,hotels with air conditioning,lp76eba,Radisson Hotel Colombo,27044.21,4.2,4.0,6.8,Air Conditioning; 24h Front Desk,
q42,luxury 5 star hotels with quick city access,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q31,hotels with a stable ETA under heavy traffic,lpa2274,Mandarina Colombo,21540.46,4.3,5.0,4.3,Air Conditioning; 24h Front Desk,
q32,quick access hotels with low commute time,ChIJv1bUJj1Z4joRyDlJ1LITJZc,Cinnamon Lakeside Colombo,,4.6,,5.8,Air Conditioning; 24h Front Desk; Hot Water,
q17,cheapest possible accommodation in the city,ChIJg5nQ7Ltb4joRV-2u4bOYJJo,Mirage Hotel Colombo,,4.0,,9.0,Hot Water; 24h Front Desk; Air Conditioning,
q37,hotels with hot water,lp6f005,Renuka City Hotel,24262.1,3.9,4.0,2.3,24h Front Desk; Air Conditioning,
q06,well rated hotels with good road access and stable ETA,ChIJOZCsQWBZ4joR29AzAwfi6zk,Mandarina Colombo,,4.3,,4.4,Air Conditioning; 24h Front Desk; Hot Water,
q07,budget friendly hotels that are also easy to reach quickly,ChIJP8keRbhb4joRKlyNwAwMUdc,Green Palace Colombo,,3.6,,10.8,24h Front Desk; Air Conditioning; Hot Water,
q29,hotels with reliable fast road access,ChIJCTk-y-FY4joR5FuWdAYeK_I,Metro Port City Hotel,,3.3,,10.9,Hot Water; 24h Front Desk; Air Conditioning,
q50,"best overall hotel: affordable, well rated and quick to reach",lp656d3aa9,Sofia Colombo City Hotel,25070.04,4.3,4.0,2.0,Air Conditioning; 24h Front Desk,
q13,stays that won't break the bank,lp741c5,Cinnamon Red Colombo,34365.37,4.5,4.0,0.0,Air Conditioning; 24h Front Desk,
q46,highly rated budget stays below 20000,ChIJ2f38AMNb4joR8DHB0F5ClVc,The Ocean Colombo,,4.1,,6.3,Hot Water; 24h Front Desk; Air Conditioning,
q08,highly rated mid-range hotels under 45000 LKR,ChIJIxlaBGlZ4joRCOu-FjV-KDs,Cinnamon Red Colombo,,4.4,,1.7,Air Conditioning; 24h Front Desk; Hot Water,
q11,hotels below 20000 LKR per night,lp81760,The Steuart by Citrus,17299.52,4.2,4.0,5.4,Air Conditioning; 24h Front Desk,
q39,affordable hotels under 30000 rated above 4,lp6e625,Hotel Janaki,13622.63,4.0,3.0,8.5,24h Front Desk; Air Conditioning,
q47,4 star hotels under 70000 LKR,lp6e625,Hotel Janaki,13622.63,4.0,3.0,8.5,24h Front Desk; Air Conditioning,
q28,places with the shortest drive from the center,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q22,really well reviewed places to stay,lp741c5,Cinnamon Red Colombo,34365.37,4.5,4.0,0.0,Air Conditioning; 24h Front Desk,
q45,good hotels under 60000 rated at least 4.4 with low travel time,ChIJOZCsQWBZ4joR29AzAwfi6zk,Mandarina Colombo,,4.3,,4.4,Air Conditioning; 24h Front Desk; Hot Water,
q37,hotels with hot water,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q25,decent hotels rated above 3.8,lpb1537,Shangri-La Colombo,68269.97,4.7,5.0,8.3,Air Conditioning; 24h Front Desk,
q22,really well reviewed places to stay,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk,Cinnamon Grand Colombo,,4.7,,4.5,Air Conditioning; 24h Front Desk; Hot Water,
q27,hotels I can reach quickly even in traffic,ChIJIxlaBGlZ4joRCOu-FjV-KDs,Cinnamon Red Colombo,,4.4,,1.7,Air Conditioning; 24h Front Desk; Hot Water,
q26,premium 5 star hotels rated over 4.5,lp8a969,Maniumpathy Hotel,113424.08,4.9,5.0,6.6,Air Conditioning; 24h Front Desk,
q26,premium 5 star hotels rated over 4.5,lp33ddb,"Taj Samudra, Colombo",43096.77,4.5,5.0,4.0,Air Conditioning; 24h Front Desk,
q37,hotels with hot water,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q34,easily reachable hotels within 8 minutes drive,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q18,hotels costing at most 50000 LKR,lp81760,The Steuart by Citrus,17299.52,4.2,4.0,5.4,Air Conditioning; 24h Front Desk,
q19,hotels rated at least 4.0,lp6f005,Renuka City Hotel,24262.1,3.9,4.0,2.3,24h Front Desk; Air Conditioning,
q15,upscale hotels above 80000 rupees a night,lp8a969,Maniumpathy Hotel,113424.08,4.9,5.0,6.6,Air Conditioning; 24h Front Desk,
q02,very affordable hotels under 18000 rupees,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q10,affordable well located hotels with fast access under 35000,lp6557c6e0,Granbell Hotel Colombo,26670.09,4.6,4.0,3.1,Air Conditioning; 24h Front Desk,
q35,hotels with air conditioning,lp33ddb,"Taj Samudra, Colombo",43096.77,4.5,5.0,4.0,Air Conditioning; 24h Front Desk,
q42,luxury 5 star hotels with quick city access,ChIJIxlaBGlZ4joRCOu-FjV-KDs,Cinnamon Red Colombo,,4.4,,1.7,Air Conditioning; 24h Front Desk; Hot Water,
q22,really well reviewed places to stay,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q25,decent hotels rated above 3.8,lp655a9e91,Zest Metropole,20622.39,4.3,4.0,7.5,Air Conditioning; 24h Front Desk,
q13,stays that won't break the bank,lpa2274,Mandarina Colombo,21540.46,4.3,5.0,4.3,Air Conditioning; 24h Front Desk,
q34,easily reachable hotels within 8 minutes drive,lpa2274,Mandarina Colombo,21540.46,4.3,5.0,4.3,Air Conditioning; 24h Front Desk,
q21,4 star or better hotels,lp6f005,Renuka City Hotel,24262.1,3.9,4.0,2.3,24h Front Desk; Air Conditioning,
q15,upscale hotels above 80000 rupees a night,lp656d4b1f,Courtyard by Marriott Colombo,45070.64,4.3,5.0,2.5,Air Conditioning; 24h Front Desk,
q08,highly rated mid-range hotels under 45000 LKR,lp803e1,Galle Face Hotel,35944.22,4.5,4.0,4.0,Air Conditioning; 24h Front Desk,
q23,high end five star properties,lpa40ff,Hotel Nippon Colombo,17077.73,3.9,3.0,4.7,Air Conditioning; 24h Front Desk,
q29,hotels with reliable fast road access,ChIJPUmFLhNZ4joRqBRIpk7g1Qk,Hilton Colombo,,4.6,,6.5,Air Conditioning; 24h Front Desk; Hot Water,
q03,top-rated hotels in Colombo with a rating above 4.5,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q43,well rated air conditioned hotels,lp3e58e,The Kingsbury Colombo,35050.54,4.2,5.0,5.4,Air Conditioning; 24h Front Desk,
q49,"comfortable mid range hotel with good reviews, not too far out",ChIJ05FiLL5Z4joRjHO4Z-Ea1uk,Cinnamon Grand Colombo,,4.7,,4.5,Air Conditioning; 24h Front Desk; Hot Water,
q04,luxury 5 star hotels in Colombo,lp96bf6,Jetwing Colombo Seven,36262.45,4.4,5.0,5.0,Air Conditioning; 24h Front Desk,
q18,hotels costing at most 50000 LKR,lp656d3aa9,Sofia Colombo City Hotel,25070.04,4.3,4.0,2.0,Air Conditioning; 24h Front Desk,
q37,hotels with hot water,lpa0a8a,NH Collection Colombo,64041.49,4.6,5.0,1.6,Air Conditioning; 24h Front Desk,
q14,mid-range hotels between 30000 and 60000 LKR,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q31,hotels with a stable ETA under heavy traffic,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q08,highly rated mid-range hotels under 45000 LKR,ChIJf5jjgiZZ4joRW1f6vCdi71U,C1 Colombo Fort,,4.4,,7.1,Hot Water; 24h Front Desk; Air Conditioning,
q01,cheap budget hotels in Colombo under 25000 LKR a night,lp72a36,Best Western Elyon Colombo,20398.22,4.2,4.0,12.8,Air Conditioning; 24h Front Desk,
q38,hotels with a 24 hour front desk,ChIJP8keRbhb4joRKlyNwAwMUdc,Green Palace Colombo,,3.6,,10.8,24h Front Desk; Air Conditioning; Hot Water,
q35,hotels with air conditioning,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q40,"top rated hotels with fast access, rating 4.3 or higher within 6 minutes",lp65589ffb,MaRadha Colombo,35640.66,4.8,3.0,6.0,Air Conditioning; 24h Front Desk,
q17,cheapest possible accommodation in the city,ChIJIxlaBGlZ4joRCOu-FjV-KDs,Cinnamon Red Colombo,,4.4,,1.7,Air Conditioning; 24h Front Desk; Hot Water,
q42,luxury 5 star hotels with quick city access,lp33ddb,"Taj Samudra, Colombo",43096.77,4.5,5.0,4.0,Air Conditioning; 24h Front Desk,
q31,hotels with a stable ETA under heavy traffic,lp1c1ea,Cinnamon Grand Colombo,60548.32,4.7,5.0,4.5,Air Conditioning; 24h Front Desk,
q36,air conditioned hotels under 40000,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q41,budget hotels below 25000 that are easy to reach,lp6e625,Hotel Janaki,13622.63,4.0,3.0,8.5,24h Front Desk; Air Conditioning,
q20,excellent hotels with rating 4.4 or better,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q16,value for money hotels under 40000,lp803e1,Galle Face Hotel,35944.22,4.5,4.0,4.0,Air Conditioning; 24h Front Desk,
q28,places with the shortest drive from the center,lp65774d7d,La Maison de Colombo,110213.15,4.8,4.0,11.0,24h Front Desk; Air Conditioning,
q19,hotels rated at least 4.0,lpa2274,Mandarina Colombo,21540.46,4.3,5.0,4.3,Air Conditioning; 24h Front Desk,
q09,premium high quality hotels rated 4.6 or higher,lp65589ffb,MaRadha Colombo,35640.66,4.8,3.0,6.0,Air Conditioning; 24h Front Desk,
q43,well rated air conditioned hotels,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q35,hotels with air conditioning,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q01,cheap budget hotels in Colombo under 25000 LKR a night,ChIJCTk-y-FY4joR5FuWdAYeK_I,Metro Port City Hotel,,3.3,,10.9,Hot Water; 24h Front Desk; Air Conditioning,
q47,4 star hotels under 70000 LKR,lp3f0a0,Grand Oriental Hotel,13592.48,3.3,4.0,7.4,Air Conditioning; 24h Front Desk,
q27,hotels I can reach quickly even in traffic,lp81760,The Steuart by Citrus,17299.52,4.2,4.0,5.4,Air Conditioning; 24h Front Desk,
q46,highly rated budget stays below 20000,lp33ddb,"Taj Samudra, Colombo",43096.77,4.5,5.0,4.0,Air Conditioning; 24h Front Desk,
q35,hotels with air conditioning,lp8a969,Maniumpathy Hotel,113424.08,4.9,5.0,6.6,Air Conditioning; 24h Front Desk,
q32,quick access hotels with low commute time,ChIJ2e3NszhZ4joRgMEx0M0swC8,Galle Face Hotel,,4.5,,4.0,Air Conditioning; 24h Front Desk; Hot Water,
q40,"top rated hotels with fast access, rating 4.3 or higher within 6 minutes",lpa40ff,Hotel Nippon Colombo,17077.73,3.9,3.0,4.7,Air Conditioning; 24h Front Desk,
q23,high end five star properties,lp656d4b1f,Courtyard by Marriott Colombo,45070.64,4.3,5.0,2.5,Air Conditioning; 24h Front Desk,
q25,decent hotels rated above 3.8,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q07,budget friendly hotels that are also easy to reach quickly,ChIJB0RFo2NZ4joRum8BVRCF28g,Granbell Hotel Colombo,,4.5,,3.1,Air Conditioning; 24h Front Desk; Hot Water,
q04,luxury 5 star hotels in Colombo,lp30277,Hilton Colombo Residence,41596.13,4.4,5.0,3.5,Air Conditioning; 24h Front Desk,
q30,avoid traffic - hotels that are easy to get to,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q25,decent hotels rated above 3.8,lp65589ffb,MaRadha Colombo,35640.66,4.8,3.0,6.0,Air Conditioning; 24h Front Desk,
q28,places with the shortest drive from the center,ChIJI146xSBZ4joRZ_W0TXLD71Y,Grand Oriental Hotel,,4.0,,7.4,Air Conditioning; 24h Front Desk; Hot Water,
q06,well rated hotels with good road access and stable ETA,lp656d40c7,Sheraton Colombo Hotel,52417.38,4.7,5.0,2.5,Air Conditioning; 24h Front Desk,
q06,well rated hotels with good road access and stable ETA,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q14,mid-range hotels between 30000 and 60000 LKR,ChIJN-exN95b4joRx1sC7LHuGdc,Seconds Colombo,,4.3,,11.2,24h Front Desk; Air Conditioning; Restaurant; Hot Water,
q22,really well reviewed places to stay,ChIJB0RFo2NZ4joRum8BVRCF28g,Granbell Hotel Colombo,,4.5,,3.1,Air Conditioning; 24h Front Desk; Hot Water,
q33,hotels that are not stuck in congestion,lp6e625,Hotel Janaki,13622.63,4.0,3.0,8.5,24h Front Desk; Air Conditioning,
q33,hotels that are not stuck in congestion,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q23,high end five star properties,lp73ace,The Ocean Colombo - Guaranteed Sea View Rooms,19909.49,3.9,4.0,6.4,24h Front Desk; Air Conditioning,
q27,hotels I can reach quickly even in traffic,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q18,hotels costing at most 50000 LKR,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q43,well rated air conditioned hotels,lp6557c6e0,Granbell Hotel Colombo,26670.09,4.6,4.0,3.1,Air Conditioning; 24h Front Desk,
q36,air conditioned hotels under 40000,ChIJsXWHzh9Z4joR9sK4oqwEe1Y,Port View City Hotel,,4.2,,10.3,Air Conditioning; 24h Front Desk; Hot Water,
q48,hotels above 4.5 rating with easy access,lp6557c6e0,Granbell Hotel Colombo,26670.09,4.6,4.0,3.1,Air Conditioning; 24h Front Desk,
q35,hotels with air conditioning,lp67286,Colombo Court Hotel & Spa,29509.78,4.5,4.0,3.2,Air Conditioning; 24h Front Desk,
q27,hotels I can reach quickly even in traffic,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q49,"comfortable mid range hotel with good reviews, not too far out",lp6f005,Renuka City Hotel,24262.1,3.9,4.0,2.3,24h Front Desk; Air Conditioning,
q07,budget friendly hotels that are also easy to reach quickly,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q10,affordable well located hotels with fast access under 35000,lp656d3aa9,Sofia Colombo City Hotel,25070.04,4.3,4.0,2.0,Air Conditioning; 24h Front Desk,
q17,cheapest possible accommodation in the city,lp1c1ea,Cinnamon Grand Colombo,60548.32,4.7,5.0,4.5,Air Conditioning; 24h Front Desk,
q21,4 star or better hotels,lp656d3aa9,Sofia Colombo City Hotel,25070.04,4.3,4.0,2.0,Air Conditioning; 24h Front Desk,
q08,highly rated mid-range hotels under 45000 LKR,lpa2274,Mandarina Colombo,21540.46,4.3,5.0,4.3,Air Conditioning; 24h Front Desk,
q08,highly rated mid-range hotels under 45000 LKR,lp102b02,Marino Beach Colombo,30068.21,4.6,5.0,3.9,Air Conditioning; 24h Front Desk,
q41,budget hotels below 25000 that are easy to reach,lp72a36,Best Western Elyon Colombo,20398.22,4.2,4.0,12.8,Air Conditioning; 24h Front Desk,
